漏洞编号,漏洞名称,风险等级,CVE编号,影响组件,发布日期,修复版本
CVE-2024-001,Apache Log4j 远程代码执行,严重,CVE-2021-44228,Log4j 2.0-beta9~2.14.1,2021-12-10,2.15.0
CVE-2024-002,Spring Framework RCE,严重,CVE-2022-22965,Spring Framework 5.3.0~5.3.17,2022-03-31,5.3.18
CVE-2024-003,Apache Struts2 文件上传漏洞,严重,CVE-2023-50164,Struts 2.5.0~2.5.32,2023-12-07,2.5.33
CVE-2024-004,Fastjson 反序列化,严重,CVE-2022-25845,Fastjson 1.2.80以下,2022-07-01,1.2.83
CVE-2024-005,Logback RCE,高,CVE-2023-6378,Logback 1.4.0~1.4.11,2023-11-15,1.4.12
CVE-2024-006,Node.js HTTP 请求走私,高,CVE-2023-30581,Node.js 20.0.0~20.2.0,2023-06-20,20.2.1
CVE-2024-007,Redis Lua Sandbox 逃逸,高,CVE-2022-0543,Redis 2.6.0~7.0.4,2022-03-01,7.0.5
CVE-2024-008,Nginx HTTP/2 快速重置攻击,高,CVE-2023-44487,Nginx 1.13.0~1.25.2,2023-10-10,1.25.3
CVE-2024-009,PostgreSQL 扩展注入,中,CVE-2024-10977,PostgreSQL 12.0~16.0,2024-05-01,16.1
CVE-2024-010,Docker 权限提升,高,CVE-2024-23617,Docker Engine 24.0.0以下,2024-01-31,24.0.1
